province,province_id,district,district_id,district_code,ADM2_PCODE,,CSO_DIST_STATUS,total_pop,tot_male,tot_female,urb_total,urb_male,urb_female,rural_total,rural_male,rural_female
Kabul,1,province Center (Kabul )                                                    ,1,101,AF101,AF0101,Official,3817241,1975705,1841536,3817241,1975705,1841536,0,0,0
Kabul,1,Paghman,2,102,AF102,AF0102,Official,126625,65178,61447,22339,11632,10707,104286,53546,50740
Kabul,1,Chahar Asyab,3,103,AF103,AF0103,Official,38055,19759,18296,0,0,0,38055,19759,18296
Kabul,1,Bagrami,4,104,AF104,AF0104,Official,57571,29517,28054,0,0,0,57571,29517,28054
Kabul,1,DehSabz                           ,5,105,AF105,AF0105,Official,56107,28785,27322,0,0,0,56107,28785,27322
Kabul,1,Shakar Dara,6,106,AF106,AF0106,Official,85380,43422,41958,0,0,0,85380,43422,41958
Kabul,1,Musahi,7,107,AF107,AF0107,Official,24272,12441,11831,0,0,0,24272,12441,11831
Kabul,1,Mir Bacha kot,8,108,AF108,AF0108,Official,54278,27444,26834,0,0,0,54278,27444,26834
Kabul,1,Khak-e-Jabar,9,109,AF109,AF0109,Official,14880,7684,7196,0,0,0,14880,7684,7196
Kabul,1,Kalakan                   ,10,110,AF110,AF0110,Official,31468,16100,15368,0,0,0,31468,16100,15368
Kabul,1,Guldara,11,111,AF111,AF0111,Official,23784,12197,11587,0,0,0,23784,12197,11587
Kabul,1,Farza,12,112,AF112,AF0112,Official,22321,11465,10856,0,0,0,22321,11465,10856
Kabul,1,Estalef,13,113,AF113,AF0113,Official,34884,17808,17076,0,0,0,34884,17808,17076
Kabul,1,Qara Bagh                  ,14,114,AF114,AF0114,Official,79282,40373,38909,0,0,0,79282,40373,38909
Kabul,1,Surubi,15,115,AF115,AF0115,Official,57570,29273,28297,0,0,0,57570,29273,28297
Kapisa,2,province Center (Mahmood Raqi),1,201,AF201,AF0201,Official,66719,33736,32983,1586,925,661,65133,32811,32322
Kapisa,2,Hissa-e-Duwumi Kohistan,2,202,AF202,AF0202,Official,46715,23662,23053,0,0,0,46715,23662,23053
Kapisa,2,Koh Band,3,203,AF203,AF0203,Official,24394,12197,12197,0,0,0,24394,12197,12197
Kapisa,2,Hissa-e-Awali Kohistan,4,204,AF204,AF0204,Official,70622,35616,35006,0,0,0,70622,35616,35006
Kapisa,2,Nijrab,5,205,AF205,AF0205,Official,116604,58912,57692,0,0,0,116604,58912,57692
Kapisa,2,Tagab,6,206,AF206,AF0206,Official,83916,41958,41958,0,0,0,83916,41958,41958
Kapisa,2,Alasai,7,207,AF207,AF0207,Official,39275,20125,19150,0,0,0,39275,20125,19150
Parwan,3,province Center (Charikar ),1,301,AF301,AF0301,Official,184229,93664,90565,59086,29873,29213,125143,63791,61352
Parwan,3,Bagram,2,302,AF302,AF0302,Official,107579,54277,53302,0,0,0,107579,54277,53302
Parwan,3,Shinwari,3,303,AF303,AF0303,Official,42690,21589,21101,0,0,0,42690,21589,21101
Parwan,3,Sayyid  Khel,4,304,AF304,AF0304,Official,47325,24150,23175,0,0,0,47325,24150,23175
Parwan,3,Jabulussaraj   ,5,305,AF305,AF0305,Official,66374,33614,32760,1851,926,925,64523,32688,31835
Parwan,3,Salang,6,306,AF306,AF0306,Official,26955,13539,13416,0,0,0,26955,13539,13416
Parwan,3,syahgird  (Ghurband),7,307,AF307,AF0307,Official,100383,50131,50252,0,0,0,100383,50131,50252
Parwan,3,Koh-e- Safi,8,308,AF308,AF0308,Official,32200,16222,15978,0,0,0,32200,16222,15978
Parwan,3,Surkhi  parsa,9,309,AF309,AF0309,Official,42446,21589,20857,0,0,0,42446,21589,20857
Parwan,3,Shaykh  Ali,10,310,AF310,AF0310,Official,25614,13051,12563,0,0,0,25614,13051,12563
Wardak,4,province  Center (Maidan Shahr)      ,1,401,AF401,AF0401,Official,41959,21345,20614,3172,1586,1586,38787,19759,19028
Wardak,4,Nerkh,2,402,AF402,AF0402,Official,59156,30493,28663,0,0,0,59156,30493,28663
Wardak,4,Jalrez,3,403,AF403,AF0403,Official,55009,28053,26956,0,0,0,55009,28053,26956
Wardak,4,Chak-e- Wardak,4,404,AF404,AF0404,Official,87576,44886,42690,0,0,0,87576,44886,42690
Wardak,4,Sayyid Abad,5,405,AF405,AF0405,Official,120508,61718,58790,0,0,0,120508,61718,58790
Wardak,4,Daimir Dad,6,406,AF406,AF0406,Official,32200,16344,15856,0,0,0,32200,16344,15856
Wardak,4,Hissa-e- awali Behsud,7,407,AF407,AF0407,Official,38421,19516,18905,0,0,0,38421,19516,18905
Wardak,4,Jaghatu,8,408,AF408,AF0408,Official,47447,24150,23297,0,0,0,47447,24150,23297
Wardak,4,Markaz-e- Behsud,9,409,AF409,AF0409,Official,123801,62815,60986,0,0,0,123801,62815,60986
Logar,5,province Center(Puli Alam),1,501,AF501,AF0501,Official,109848,55722,54126,5684,2908,2776,104164,52814,51350
Logar,5,Baraki Barak,2,502,AF502,AF0502,Official,90972,46279,44693,4494,2247,2247,86478,44032,42446
Logar,5,Charkh,3,503,AF503,AF0503,Official,46105,23418,22687,0,0,0,46105,23418,22687
Logar,5,khushi,4,504,AF504,AF0504,Official,25004,12685,12319,0,0,0,25004,12685,12319
