Shape_Leng,Shape_Area,ADM2_EN,ADM2_PCODE,ADM2ALT1EN,ADM2ALT2EN,ADM1_EN,ADM1_PCODE,ADM0_EN,REG_EN
1.168942851,0.034376855,Kabul,AF0101,,,Kabul,AF01,Afghanistan,Capital
0.867360168,0.035503003,Paghman,AF0102,,,Kabul,AF01,Afghanistan,Capital
0.80705311,0.025248007,Chahar Asyab,AF0103,,,Kabul,AF01,Afghanistan,Capital
0.861447945,0.027447575,Bagrami,AF0104,,,Kabul,AF01,Afghanistan,Capital
1.017384384,0.045426035,Deh Sabz,AF0105,,,Kabul,AF01,Afghanistan,Capital
1.014935182,0.031256433,Shakar Dara,AF0106,,,Kabul,AF01,Afghanistan,Capital
0.518480233,0.010831075,Musahi,AF0107,,,Kabul,AF01,Afghanistan,Capital
0.349989833,0.006477423,Mir Bacha Kot,AF0108,,,Kabul,AF01,Afghanistan,Capital
1.417521712,0.057344008,Khak-e-Jabbar,AF0109,,,Kabul,AF01,Afghanistan,Capital
0.457999092,0.007381381,Kalakan,AF0110,,,Kabul,AF01,Afghanistan,Capital
0.432560491,0.007460547,Guldara,AF0111,,,Kabul,AF01,Afghanistan,Capital
0.502622659,0.00883464,Farza,AF0112,,,Kabul,AF01,Afghanistan,Capital
0.519350045,0.010793372,Estalef,AF0113,,,Kabul,AF01,Afghanistan,Capital
0.861005567,0.02057817,Qara Bagh,AF0114,,,Kabul,AF01,Afghanistan,Capital
2.537649502,0.128625658,Surubi,AF0115,,,Kabul,AF01,Afghanistan,Capital
0.752749234,0.018220337,Mahmood-e-Raqi,AF0201,Centre,,Kapisa,AF02,Afghanistan,Capital
0.392084066,0.005242971,Hisa-e-Duwum-e-Kohistan,AF0202,,,Kapisa,AF02,Afghanistan,Capital
0.559650923,0.014848545,Koh Band,AF0203,,,Kapisa,AF02,Afghanistan,Capital
0.459118816,0.008708509,Hisa-e-Awal-e-Kohistan,AF0204,,,Kapisa,AF02,Afghanistan,Capital
1.086928068,0.057472419,Nijrab,AF0205,,,Kapisa,AF02,Afghanistan,Capital
1.465788673,0.051475571,Tagab,AF0206,,,Kapisa,AF02,Afghanistan,Capital
0.828991984,0.029864406,Alasay,AF0207,,,Kapisa,AF02,Afghanistan,Capital
0.988713437,0.026416583,Charikar,AF0301,Centre,,Parwan,AF03,Afghanistan,Capital
1.110193697,0.035569906,Bagram,AF0302,,,Parwan,AF03,Afghanistan,Capital
1.400783575,0.071379107,Shinwari,AF0303,,,Parwan,AF03,Afghanistan,Capital
0.369074339,0.004536696,Sayed Khel,AF0304,,,Parwan,AF03,Afghanistan,Capital
0.657278102,0.011525069,Jabal Saraj,AF0305,,,Parwan,AF03,Afghanistan,Capital
1.139820008,0.051562073,Salang,AF0306,,,Parwan,AF03,Afghanistan,Capital
1.469859496,0.088417154,Ghorband,AF0307,Syah Gird,,Parwan,AF03,Afghanistan,Capital
1.273077367,0.05712488,Koh-e-Safi,AF0308,,,Parwan,AF03,Afghanistan,Capital
1.840604808,0.114682295,Surkh-e-Parsa,AF0309,,,Parwan,AF03,Afghanistan,Capital
1.346174255,0.090869569,Shekh Ali,AF0310,,,Parwan,AF03,Afghanistan,Capital
0.886621162,0.024184307,Maydan Shahr,AF0401,Centre,,Maidan Wardak,AF04,Afghanistan,Capital
1.43114485,0.055082806,Nerkh,AF0402,,,Maidan Wardak,AF04,Afghanistan,Capital
1.705141035,0.10734373,Jalrez,AF0403,,,Maidan Wardak,AF04,Afghanistan,Capital
1.868903176,0.108588131,Chak-e-Wardak,AF0404,Chak,,Maidan Wardak,AF04,Afghanistan,Capital
1.87921364,0.106829747,Saydabad,AF0405,,,Maidan Wardak,AF04,Afghanistan,Capital
1.933946429,0.093628436,Daymirdad,AF0406,,,Maidan Wardak,AF04,Afghanistan,Capital
2.006300938,0.154595624,Hesa-e-Awal-e-Behsud,AF0407,,,Maidan Wardak,AF04,Afghanistan,Capital
1.272654698,0.058394337,Jaghatu,AF0408,,,Maidan Wardak,AF04,Afghanistan,Capital
3.524374121,0.328094677,Markaz-e-Behsud,AF0409,,,Maidan Wardak,AF04,Afghanistan,Capital
1.984159941,0.109466358,Pul-e-Alam,AF0501,Centre,,Logar,AF05,Afghanistan,Capital
0.834391608,0.026634233,Baraki Barak,AF0502,,,Logar,AF05,Afghanistan,Capital
0.806917535,0.027897314,Charkh,AF0503,,,Logar,AF05,Afghanistan,Capital
0.949830802,0.042610866,Khoshi,AF0504,,,Logar,AF05,Afghanistan,Capital
1.680112392,0.102821503,Mohammad Agha,AF0505,,,Logar,AF05,Afghanistan,Capital
1.226816752,0.045473195,Kharwar,AF0506,,,Logar,AF05,Afghanistan,Capital
1.702482856,0.074383528,Azra,AF0507,,,Logar,AF05,Afghanistan,Capital
0.213845237,0.002316248,Jalalabad,AF0601,Centre,,Nangarhar,AF06,Afghanistan,Eastern
1.28331809,0.03051846,Behsud,AF0602,,,Nangarhar,AF06,Afghanistan,Eastern
1.015890478,0.037720331,Surkh Rod,AF0603,,,Nangarhar,AF06,Afghanistan,Eastern
0.680761358,0.022645258,Chaparhar,AF0604,,,Nangarhar,AF06,Afghanistan,Eastern
0.753243907,0.02251991,Kama,AF0605,,,Nangarhar,AF06,Afghanistan,Eastern
0.840208779,0.028509782,Kuz Kunar,AF0606,Khewa,,Nangarhar,AF06,Afghanistan,Eastern
0.985592217,0.034895645,Rodat,AF0607,,,Nangarhar,AF06,Afghanistan,Eastern
1.616572246,0.066303741,Khogyani,AF0608,,,Nangarhar,AF06,Afghanistan,Eastern
0.558514544,0.014944037,Bati Kot,AF0609,,,Nangarhar,AF06,Afghanistan,Eastern
0.897873131,0.037659737,Deh Bala,AF0610,Haska Meyna,,Nangarhar,AF06,Afghanistan,Eastern
1.055044732,0.045865847,Pachir Wa Agam,AF0611,,,Nangarhar,AF06,Afghanistan,Eastern
0.647954413,0.025443023,Dara-e-Nur,AF0612,,,Nangarhar,AF06,Afghanistan,Eastern
0.673712433,0.016926762,Kot,AF0613,,,Nangarhar,AF06,Afghanistan,Eastern
1.132212368,0.051142678,Goshta,AF0614,,,Nangarhar,AF06,Afghanistan,Eastern
1.055832934,0.045637775,Achin,AF0615,,,Nangarhar,AF06,Afghanistan,Eastern
0.410163485,0.008568812,Shinwar,AF0616,Ghani Khail,,Nangarhar,AF06,Afghanistan,Eastern
1.157378761,0.02775815,Muhmand Dara,AF0617,,,Nangarhar,AF06,Afghanistan,Eastern
0.990185869,0.045406326,Lalpur,AF0618,,,Nangarhar,AF06,Afghanistan,Eastern
1.062349366,0.045604891,Sherzad,AF0619,,,Nangarhar,AF06,Afghanistan,Eastern
0.785387802,0.021123611,Nazyan,AF0620,,,Nangarhar,AF06,Afghanistan,Eastern
1.576288891,0.065563409,Hesarak,AF0621,,,Nangarhar,AF06,Afghanistan,Eastern
0.787307716,0.027306122,Dur Baba,AF0622,,,Nangarhar,AF06,Afghanistan,Eastern
1.578487034,0.070728465,Mehtarlam,AF0701,Laghman Centre,Centre,Laghman,AF07,Afghanistan,Eastern
1.727926834,0.087103105,Qarghayi,AF0702,,,Laghman,AF07,Afghanistan,Eastern
1.263270809,0.066063873,Alishang,AF0703,,,Laghman,AF07,Afghanistan,Eastern
1.40885838,0.080629083,Alingar,AF0704,,,Laghman,AF07,Afghanistan,Eastern
1.337878842,0.073325919,Dawlatshah,AF0705,,,Laghman,AF07,Afghanistan,Eastern
0.94326314,0.034203915,Bazarak,AF0801,Centre,,Panjsher,AF08,Afghanistan,Capital
0.738321971,0.016209737,Rukha,AF0802,,,Panjsher,AF08,Afghanistan,Capital
1.394229035,0.070566942,Dara,AF0803,,,Panjsher,AF08,Afghanistan,Capital
1.211893827,0.067967038,Khenj,AF0804,Hisa-e-Awal,,Panjsher,AF08,Afghanistan,Capital
0.58970148,0.017675968,Anawa,AF0805,Onaba,,Panjsher,AF08,Afghanistan,Capital
