latitude,longitude,data_id,event_type_code,event_type,fatalities,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,assoc_actor_1,inter1,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,geo_precision,source_scale,timestamp,iso3
34.2409,70.1827,1724657,2,Battle-No change of territory,3,4,AFG11582,11582,7/21/2018,2018,1,,2,,1,12,Southern Asia,Afghanistan,Nangarhar,Khogyani,,Kaga,2,National,1532455204,AFG
36.97,68.57,1724673,2,Battle-No change of territory,2,4,AFG11598,11598,7/21/2018,2018,1,,2,,1,12,Southern Asia,Afghanistan,Kunduz,Qalay i Zal,,Aq Tapa,2,National,1532455204,AFG
36.0649,69.1334,1724686,2,Battle-No change of territory,3,4,AFG11611,11611,7/21/2018,2018,1,,2,,1,12,Southern Asia,Afghanistan,Baghlan,Nahrin,,Nahrin,2,International,1532455204,AFG
35.9774,65.3783,1724824,3,Battle-Non-state actor overtakes territory,0,4,AFG11749,11749,7/21/2018,2018,2,,2,,2,22,Southern Asia,Afghanistan,Jowzjan,Darzab,,Darzab,2,Other,1532455204,AFG
34.949,70.7822,1724825,2,Battle-No change of territory,11,4,AFG11750,11750,7/21/2018,2018,2,,2,,2,22,Southern Asia,Afghanistan,Kunar,Chapa Dara,,Chapa Dara,2,National,1532455204,AFG
35.22,71.5228,1724826,2,Battle-No change of territory,3,4,AFG11751,11751,7/21/2018,2018,1,,1,,2,12,Southern Asia,Afghanistan,Kunar,Nari,,Nari,2,National,1532455204,AFG
34.2998,70.378,1724828,2,Battle-No change of territory,3,4,AFG11753,11753,7/21/2018,2018,1,,1,,2,12,Southern Asia,Afghanistan,Nangarhar,Achin,,Sra Kala,2,National,1532455204,AFG
34.4265,70.4515,1724829,6,Remote violence,0,4,AFG11754,11754,7/21/2018,2018,2,,3,,7,37,Southern Asia,Afghanistan,Nangarhar,Jalalabad,,Jalalabad,3,National,1532455204,AFG
34.0566,70.8261,1724831,2,Battle-No change of territory,1,4,AFG11756,11756,7/21/2018,2018,1,,1,,2,12,Southern Asia,Afghanistan,Nangarhar,Nazyan,,Nazyan,2,National,1532455204,AFG
37.2216,69.4975,1724832,8,Strategic development,0,4,AFG11757,11757,7/21/2018,2018,1,,2,,0,20,Southern Asia,Afghanistan,Takhar,Dashti Qala,,Dashti Qala,2,National-International,1532455204,AFG
33.3246,68.4407,1724579,2,Battle-No change of territory,0,4,AFG11504,11504,7/20/2018,2018,1,,1,,2,12,Southern Asia,Afghanistan,Ghazni,Andar,,Miray,2,National,1532455204,AFG
36.3041,66.8573,1724596,2,Battle-No change of territory,1,4,AFG11521,11521,7/20/2018,2018,1,,2,Militia (Pro-Government),1,12,Southern Asia,Afghanistan,Balkh,Sholgara,,Sholgara,2,National,1532455204,AFG
34.4915,69.2473,1724597,2,Battle-No change of territory,1,4,AFG11522,11522,7/20/2018,2018,1,,2,,1,12,Southern Asia,Afghanistan,Kabul,Bagrami,,Qalah-ye Noman,2,National-International,1532455204,AFG
33.5748,68.1941,1724660,2,Battle-No change of territory,2,4,AFG11585,11585,7/20/2018,2018,1,,2,,1,12,Southern Asia,Afghanistan,Ghazni,Jeghatoo,,Jeghatoo,2,National-International,1532455204,AFG
