latitude,longitude,data_id,period,event_type_code,event_type,actor1,assoc_actor_1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities
32.6268,65.8733,CON1990445,2018 January,1,Battle-Government regains territory,Military Forces of Afghanistan (2004-),Police Forces of Afghanistan (2004-),Taliban,0,2,12,Southern Asia,Afghanistan,Urozgan,Tarinkot,0,Tarinkot,32.6268,65.8733,2,BBC Monitoring; National Afghanistan TV; Paiwastoon Ghag; Shamshad TV; Pajhwok Afghan News,Subnational-national,"Officials claim that joint police and army operations against the Taliban led to the reclaiming of the strategic Landa Kosa area of Tarinkot District, Urozgan Province. 30-40 Taliban were killed (coded across 2 events) and 10 wounded both on the night of January 5, 2018, when the government claimed victory, and in the few days of fighting prior. The Taliban rejected these claims.",15
32.6268,65.8733,CON1990450,2018 January,1,Battle-Government regains territory,Police Forces of Afghanistan (2004-) Special Forces,0,Taliban,0,2,12,Southern Asia,Afghanistan,Urozgan,Tarinkot,0,Tarinkot,32.6268,65.8733,2,BBC Monitoring; Paiwastoon Ghag; Xinhua General News Service,Subnational-international,"Police Special Units launched operations against Taliban militants in Kaftar Khana area of Tarinkot District, Urozgan Province, on January 7, 2018. 20 Taliban militants and 9 policemen were killed; 20 policemen and several other militants were wounded. The government claimed to have retaken two villages in the area after the Taliban retreated.",29
35.5392,70.2754,CON1990461,2018 January,1,Battle-Government regains territory,Military Forces of Afghanistan (2004-),Police Forces of Afghanistan (2004-),Taliban,0,2,12,Southern Asia,Afghanistan,Nuristan,Du Ab,0,Du Ab,35.5392,70.2754,2,Bakhtar News Agency,National,"Reports on January 15, 2018, of recent joint army and police operations that had been ongoing for the past 4 days in Du Ab and Nurgaram Districts, Nuristan Province. 4 Taliban were killed (coded across 8 events), 7-15 arrested, and weapons seized. The government claimed to have cleared several villages of militants' presence.",0
31.1167,64.2,CON1990463,2018 January,1,Battle-Government regains territory,Military Forces of Afghanistan (2004-),Police Forces of Afghanistan (2004-),Taliban,0,2,12,Southern Asia,Afghanistan,Helmand,Garmsir,0,Garmsir,31.1167,64.2,2,BBC Monitoring; Paiwastoon Ghag; Helmand Local Radio,Subnational-national,"Joint government forces launched air and ground operations against the Taliban in Garmsir District, Helmand Province, as reported on January 15, 2018. They reported clearing 3 villages of militants and killing or wounding at least 20 militants (half coded as fatalities).",10
35.0743,70.4686,CON1990464,2018 January,1,Battle-Government regains territory,Military Forces of Afghanistan (2004-),Police Forces of Afghanistan (2004-),Taliban,0,2,12,Southern Asia,Afghanistan,Nuristan,Nurgaram,0,Nurgaram,35.0743,70.4686,2,Bakhtar News Agency,National,"Reports on January 15, 2018, of recent joint army and police operations that had been ongoing for the past 4 days in Du Ab and Nurgaram Districts, Nuristan Province. 4 Taliban were killed (coded across 8 events), 7-15 arrested, and weapons seized. The government claimed to have cleared several villages of militants' presence.",0
36.691,68.7965,CON1990470,2018 January,1,Battle-Government regains territory,Military Forces of Afghanistan (2004-),NATO: North Atlantic Treaty Organization,Taliban,0,2,12,Southern Asia,Afghanistan,Kunduz,Chardara,0,Chardara,36.691,68.7965,2,BBC Monitoring; Afghan Islamic Press; Pajhwok Afghan News; Xinhua General News Service,Subnational-international,"Reports of a 7-day long military operation (January 15-21, 2018) in Chardara District, Kunduz Province, with NATO air support against the Taliban. In total, 50-65 Taliban were killed (41 coded in previous events) and scores of others wounded; 3 Afghan soldiers were also wounded. 10-20 villages were cleared of militant presence. However, the Taliban claimed that 5 US NATO soldiers, 21 Afghan soldiers, and only 8 Taliban were killed while 11 Taliban and many government forces were wounded. More than 2,000 families were displaced by the conflict.",9
31.6323,64.2645,CON1990477,2018 January,1,Battle-Government regains territory,Military Forces of Afghanistan (2004-),Police Forces of Afghanistan (2004-),Taliban,0,2,12,Southern Asia,Afghanistan,Helmand,Nad Ali,0,Nad-e Ali,31.6323,64.2645,2,BBC Monitoring; Helmand Local Radio; Khaama Press,Subnational-national,"Afghan ground and air forces attacked Taliban positions in Nad Ali District, Helmand Province, on January 23, 2018. 3 militants were killed; 2 were arrested in either Nahri Saraj or Nad Ali District on this day. Police also reported on this day that they had reopened a highway in Nad Ali District, Helmand Province, after massive operations to retake it and establish security points.",3
33.4252,68.4191,CON1990487,2018 January,1,Battle-Government regains territory,Military Forces of Afghanistan (2004-),0,Taliban,0,2,12,Southern Asia,Afghanistan,Ghazni,Ghazni,0,Qara Baghi,33.4252,68.4191,1,BBC Monitoring; Ghaznawian TV,Subnational-national,"Officials reported clearing the Qara Baghi area of Ghazni District as well as several villages of Andar and Dih Yak Districts, Ghazni Province, of Taliban presence in ongoing military operations on January 28, 2018. No fatalities reported.",0
33.3246,68.4407,CON1990488,2018 January,1,Battle-Government regains territory,Military Forces of Afghanistan (2004-),0,Taliban,0,2,12,Southern Asia,Afghanistan,Ghazni,Andar,0,Miray,33.3246,68.4407,2,BBC Monitoring; Ghaznawian TV,Subnational-national,"Officials reported clearing the Qara Baghi area of Ghazni City as well as several villages of Andar and Dih Yak Districts, Ghazni Province, of Taliban presence in ongoing military operations on January 28, 2018. No fatalities reported.",0
33.5223,68.6264,CON1990489,2018 January,1,Battle-Government regains territory,Military Forces of Afghanistan (2004-),0,Taliban,0,2,12,Southern Asia,Afghanistan,Ghazni,Dih Yak,0,Ramak,33.5223,68.6264,2,BBC Monitoring; Ghaznawian TV,Subnational-national,"Officials reported clearing the Qara Baghi area of Ghazni City as well as several villages of Andar and Dih Yak Districts, Ghazni Province, of Taliban presence in ongoing military operations on January 28, 2018. No fatalities reported.",0
32.3745,62.1164,CON1990493,2018 January,1,Battle-Government regains territory,Military Forces of Afghanistan (2004-),0,Taliban,0,2,12,Southern Asia,Afghanistan,Farah,Farah,0,Farah,32.3745,62.1164,2,BBC Monitoring; Afghan Islamic Press,Subnational-national,"The MoD reported recent (coded as the last few days) effective military operations against the Taliban on the outskirts of Farah City, claiming that the Taliban were pushed back. A number of militants were killed and wounded (unknown fatalities coded as 10) and their equipment seized.",10
34.0923,70.469,CON1365882,2018 January,2,Battle-No change of territory,Military Forces of Afghanistan (2004-),0,Islamic State (Afghanistan),0,2,12,Southern Asia,Afghanistan,Nangarhar,Dih Bala,0,Dih Bala,34.0923,70.469,2,TOLONews,Subnational,"The MoD reported on January 1, 2018, that Afghan security forces conducted operations in Shinwar, Dih Bala, Achin, Khogyani, and Surkh Rod Districts of Nangarhar Province. 11 IS militants were killed (coded across 5 events), 2 arrested (including a Pakistani national), and weapons and a motorbike were destroyed.",2
34.2409,70.1827,CON1365883,2018 January,2,Battle-No change of territory,Military Forces of Afghanistan (2004-),0,Islamic State (Afghanistan),0,2,12,Southern Asia,Afghanistan,Nangarhar,Khogyani,0,Kaga,34.2409,70.1827,2,TOLONews,Subnational,"The MoD reported on January 1, 2018, that Afghan security forces conducted operations in Shinwar, Dih Bala, Achin, Khogyani, and Surkh Rod Districts of Nangarhar Province. 11 IS militants were killed (coded across 5 events), 2 arrested (including a Pakistani national), and weapons and a motorbike were destroyed.",2
34.1258,70.7133,CON1734213,2018 January,2,Battle-No change of territory,Military Forces of Afghanistan (2004-),0,Islamic State (Afghanistan),0,2,12,Southern Asia,Afghanistan,Nangarhar,Achin,0,Sra Kala,34.1258,70.7133,2,TOLONews,Subnational,"The MoD reported on January 1, 2018, that Afghan security forces conducted operations in Shinwar, Dih Bala, Achin, Khogyani, and Surkh Rod Districts of Nangarhar Province. 11 IS militants were killed (coded across 5 events), 2 arrested (including a Pakistani national), and weapons and a motorbike were destroyed.",2
32.0728,64.8359,CON1365900,2018 January,2,Battle-No change of territory,Taliban,0,Military Forces of Afghanistan (2004-),Police Forces of Afghanistan (2004-),1,12,Southern Asia,Afghanistan,Helmand,Sangin,0,Sangin,32.0728,64.8359,2,BBC Monitoring; Voice of Jihad,Other-national,"Taliban fighters attacked a group of Afghan soldiers and policemen on the evening of January 1, 2018, in the Haji Haidaradi area of Sangin District, Helmand Province. 5 soldiers were killed and 2 others wounded.",5
32.0728,64.8359,CON1594899,2018 January,2,Battle-No change of territory,Military Forces of Afghanistan (2004-),Police Forces of Afghanistan (2004-),Taliban,0,2,12,Southern Asia,Afghanistan,Helmand,Sangin,0,Sangin,32.0728,64.8359,2,BBC Monitoring; Helmand Local Radio,Subnational-national,"Afghan joint forces targeted suspected Taliban militants in Sangin District, Helmand Province, over January 1 and 2, 2018. 10 militants, including 3 commanders, were killed and a mine-making factory was also destroyed. The Taliban reported on January 3, 2018 about similar operations. They claimed that 72 Afghan soldiers (5 coded in separate event), including 5 commanders; 23 Taliban fighters; and 7 villagers were killed. In addition, 33 other soldiers and 13 civilians were wounded. In a separately reported event in the same district, 6 soldiers were killed or injured (half considered fatalities; 100 total fatalities coded across 2 events).",50
34.1258,70.7133,CON1734215,2018 January,2,Battle-No change of territory,Taliban and/or Islamic State (Afghanistan),0,NATO: North Atlantic Treaty Organization,Military Forces of United States,8,28,Southern Asia,Afghanistan,Nangarhar,Achin,0,Sra Kala,34.1258,70.7133,2,Agence France Presse,International,"1 US NATO soldier was killed and 4 others wounded in a combat engagement in Achin District, Nangarhar Province, on January 1, 2018.",1
34.1959,70.8318,CON1365884,2018 January,2,Battle-No change of territory,Military Forces of Afghanistan (2004-),0,Islamic State (Afghanistan),0,2,12,Southern Asia,Afghanistan,Nangarhar,Shinwar,0,Shinwar,34.1959,70.8318,2,TOLONews,Subnational,"The MoD reported on January 1, 2018, that Afghan security forces conducted operations in Shinwar, Dih Bala, Achin, Khogyani, and Surkh Rod Districts of Nangarhar Province. 11 IS militants were killed (coded across 5 events), 2 arrested (including a Pakistani national), and weapons and a motorbike were destroyed.",3
34.412,70.2963,CON1365888,2018 January,2,Battle-No change of territory,Military Forces of Afghanistan (2004-),0,Islamic State (Afghanistan),0,2,12,Southern Asia,Afghanistan,Nangarhar,Surkh Rod,0,Sultanpur,34.412,70.2963,2,TOLONews,Subnational,"The MoD reported on January 1, 2018, that Afghan security forces conducted operations in Shinwar, Dih Bala, Achin, Khogyani, and Surkh Rod Districts of Nangarhar Province. 11 IS militants were killed (coded across 5 events), 2 arrested (including a Pakistani national), and weapons and a motorbike were destroyed.",2
34.3697,63.1764,CON1365894,2018 January,2,Battle-No change of territory,Taliban,0,Military Forces of Afghanistan (2004-),0,1,12,Southern Asia,Afghanistan,Herat,Obe,0,Obe,34.3697,63.1764,2,BBC Monitoring; Herat TV,Subnational-national,"Clashes occurred between Taliban fighters and Afghan security forces in Obe District, Herat Province, as reported on January 1, 2018. 1 Taliban fighter was killed and 2 others wounded.",1
32.4878,62.0576,CON1365903,2018 January,2,Battle-No change of territory,Taliban,0,Police Forces of Afghanistan (2004-),0,1,12,Southern Asia,Afghanistan,Farah,Pusht Rod,0,Pusht Rod,32.4878,62.0576,2,BBC Monitoring; Afghan Islamic Press; Associated Press,National-international,"Taliban fighters ambushed and killed a district police chief in the Madgan area of Pusht Rod District, Farah Province late on January 1, 2018, while he was on his way to help a checkpoint that was under attack. 2 other policemen were wounded.",1
