latitude,longitude,event_type_code,event_type,data_id,fatalities,data_id
34.2409,70.1827,2,Battle-No change of territory,116123464,498,1724657
36.97,68.57,2,Battle-No change of territory,4979618,14,1724673
36.0649,69.1334,2,Battle-No change of territory,3121834,5,1724686
35.9774,65.3783,3,Battle-Non-state actor overtakes territory,14332604,110,1724824
34.949,70.7822,2,Battle-No change of territory,27822758,107,1724825
35.22,71.5228,2,Battle-No change of territory,14076657,33,1724826
34.2998,70.378,2,Battle-No change of territory,178430604,1097,1724828
34.4265,70.4515,6,Remote violence,145915895,272,1724829
34.0566,70.8261,2,Battle-No change of territory,26710740,89,1724831
37.2216,69.4975,8,Strategic development,1724832,0,1724832
33.3246,68.4407,2,Battle-No change of territory,155401778,689,1724579
36.3041,66.8573,2,Battle-No change of territory,5910026,24,1724596
34.4915,69.2473,2,Battle-No change of territory,1724597,1,1724597
33.5748,68.1941,2,Battle-No change of territory,36854587,126,1724660
31.6133,65.7101,6,Remote violence,36176525,173,1724726
34.0923,70.469,6,Remote violence,144638473,720,1724728
37.0704,69.2984,6,Remote violence,30026393,143,1724743
37.189,68.9364,2,Battle-No change of territory,64822262,374,1724804
33.5508,68.4225,2,Battle-No change of territory,316953020,1338,1724812
35.9774,65.3783,2,Battle-No change of territory,93119612,642,1724824
34.5167,69.1833,7,Riots/Protests,88801842,10,1724816
36.06,64.97,6,Remote violence,18325103,87,1724817
36.691,68.7965,1,Battle-Government regains territory,3086751,17,1724819
32.5555,67.0371,2,Battle-No change of territory,43813059,222,1724822
37.1587,68.9567,2,Battle-No change of territory,4819495,21,1724588
34.9844,70.9051,9,Violence against civilians,1724603,0,1724603
37.1431,68.9501,2,Battle-No change of territory,13018530,44,1724650
36.691,68.7965,6,Remote violence,30290475,138,1724819
33.4239,69.3768,2,Battle-No change of territory,3134235,14,1724697
34.0004,68.7135,2,Battle-No change of territory,62852859,173,1724721
36.6676,65.7529,7,Riots/Protests,8100096,0,1724731
31.9055,66.5167,2,Battle-No change of territory,8904616,45,1724773
31.0058,66.4,2,Battle-No change of territory,29636246,122,1724792
34.8731,71.147,2,Battle-No change of territory,53670923,225,1724793
32.6357,62.4654,2,Battle-No change of territory,88412579,661,1724797
37.0704,69.2984,2,Battle-No change of territory,60146009,461,1724743
34.4265,70.4515,8,Strategic development,71269067,3,1724829
34.2409,70.1827,6,Remote violence,54648370,167,1724657
33.4378,69.0277,2,Battle-No change of territory,41787756,239,1724805
34.4167,70.35,2,Battle-No change of territory,22357207,143,1724806
32.5215,67.4132,2,Battle-No change of territory,55135576,312,1724807
33.198,68.108,2,Battle-No change of territory,119467436,371,1724823
