ADM2_EN,DISTID,TOTAL,TOT_MALE,TOT_FEMALE
Kabul                              ,101,3817241,1975705,1841536
Paghman,102,126625,65178,61447
Chahar Asyab,103,38055,19759,18296
Bagrami,104,57571,29517,28054
DehSabz                           ,105,56107,28785,27322
Shakar Dara,106,85380,43422,41958
Musahi,107,24272,12441,11831
Mir Bacha kot,108,54278,27444,26834
Khak-e-Jabar,109,14880,7684,7196
Kalakan                   ,110,31468,16100,15368
Guldara,111,23784,12197,11587
Farza,112,22321,11465,10856
Estalef,113,34884,17808,17076
Qara Bagh                  ,114,79282,40373,38909
Surubi,115,57570,29273,28297
Mahmood Raqi,201,66719,33736,32983
Hissa-e-Duwumi Kohistan,202,46715,23662,23053
Koh Band,203,24394,12197,12197
Hissa-e-Awali Kohistan,204,70622,35616,35006
Nijrab,205,116604,58912,57692
Tagab,206,83916,41958,41958
Alasai,207,39275,20125,19150
prCharikar,301,184229,93664,90565
Bagram,302,107579,54277,53302
Shinwari,303,42690,21589,21101
Sayyid  Khel,304,47325,24150,23175
Jabulussaraj   ,305,66374,33614,32760
Salang,306,26955,13539,13416
syahgird  ('Ghurband),307,100383,50131,50252
Koh-e- Safi,308,32200,16222,15978
Surkhi  parsa,309,42446,21589,20857
Shaykh  Ali,310,25614,13051,12563
Maidan Shahr,401,41959,21345,20614
Nerkh,402,59156,30493,28663
Jalrez,403,55009,28053,26956
Chak-e- Wardak,404,87576,44886,42690
Sayyid Abad,405,120508,61718,58790
Daimir Dad,406,32200,16344,15856
Hissa-e- awali Behsud,407,38421,19516,18905
Jaghatu,408,47447,24150,23297
Markaz-e- Behsud,409,123801,62815,60986
Puli Alam,501,109848,55722,54126
Baraki Barak,502,90972,46279,44693
Charkh,503,46105,23418,22687
khushi,504,25004,12685,12319
Mohammad Agha,505,78306,40007,38299
Khar war,506,27199,13783,13416
Azra,507,21101,10855,10246
pJalalabad,601,232901,119901,113000
Behsud,602,117946,59888,58058
Surkh Rud,603,125021,64401,60620
Chapar har,604,62572,31835,30737
Kama,605,79769,40860,38909
Kuzkunar,606,57082,29395,27687
Rodat,607,71719,36835,34884
Khugyani,608,135522,69596,65926
Bati Kot,609,78550,40007,38543
Deh Bala,610,41836,21467,20369
Pachir Waagam,611,44154,22687,21467
Darah -e- Noor,612,41836,21345,20491
Kot,613,54034,27322,26712
Goshta,614,28298,14393,13905
Achin,615,104042,52936,51106
Shinwar,616,62206,31713,30493
Muhmand ِِDara,617,46593,23906,22687
Lalpoor,618,21223,10855,10368
Sher Zad,619,68792,35006,33786
Nazyan,620,15246,7928,7318
Hesarak,621,31956,16344,15612
Dur  Baba,622,24150,12441,11709
Mehterlam,701,134576,69128,65448
Qarghayee,702,101724,52082,49642
Alishing,703,74037,37811,36226
Alingar,704,100383,51472,48911
