longitude,latitude,ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,REG_EN,REG_PCODE
69.33617113,34.4835526,Bagrami,AF0104,Kabul,AF01,Capital,CR
69.07273938,34.38709786,Chahar Asyab,AF0103,Kabul,AF01,Capital,CR
69.30799946,34.66554954,Deh Sabz,AF0105,Kabul,AF01,Capital,CR
69.02352903,34.84847392,Estalef,AF0113,Kabul,AF01,Capital,CR
69.01770094,34.7940158,Farza,AF0112,Kabul,AF01,Capital,CR
68.99530854,34.74801281,Guldara,AF0111,Kabul,AF01,Capital,CR
69.15413425,34.51953526,Kabul,AF0101,Kabul,AF01,Capital,CR
69.17558599,34.76250746,Kalakan,AF0110,Kabul,AF01,Capital,CR
69.43400598,34.36538957,Khak-e-Jabbar,AF0109,Kabul,AF01,Capital,CR
69.11822965,34.72726527,Mir Bacha Kot,AF0108,Kabul,AF01,Capital,CR
69.21876472,34.3685943,Musahi,AF0107,Kabul,AF01,Capital,CR
68.93716325,34.54807995,Paghman,AF0102,Kabul,AF01,Capital,CR
69.17629687,34.84938598,Qara Bagh,AF0114,Kabul,AF01,Capital,CR
69.03571119,34.66384529,Shakar Dara,AF0106,Kabul,AF01,Capital,CR
69.70419913,34.52820381,Surobi,AF0115,Kabul,AF01,Capital,CR
