country,COUNTY,OBJECTID,npafp_rate,period
KENYA,Turkana,kE1,2.25,2018
KENYA,Marsabit,kE2,3.71,2018
KENYA,Mandera,kE3,7.75,2018
KENYA,Wajir,kE4,7.52,2018
KENYA,West-Pokot,kE5,1.81,2018
KENYA,Samburu,kE6,0.77,2018
KENYA,Isiolo,kE7,8.58,2018
KENYA,Baringo,kE8,2.5,2018
KENYA,Elgeiyo-Marakwet,kE9,4.73,2018
KENYA,Trans-Nzoia,kE10,1.23,2018
KENYA,Bungoma,kE11,2.57,2018
KENYA,Garissa,kE12,8.67,2018
KENYA,Uasin-Gishu,kE13,1.51,2018
KENYA,Kakamega,kE14,3.19,2018
KENYA,Laikipia,kE15,3.66,2018
KENYA,Busia,kE16,3.99,2018
KENYA,Meru,kE17,3.58,2018
KENYA,Nandi,kE18,3.48,2018
KENYA,Siaya,kE19,2.08,2018
KENYA,Nakuru,kE20,5.02,2018
KENYA,Vihiga,kE21,2.29,2018
KENYA,Nyandarua,kE22,3.76,2018
KENYA,Tharaka-Nithi,kE23,1.87,2018
KENYA,Kericho,kE24,2.39,2018
KENYA,Kisumu,kE25,2.15,2018
KENYA,Nyeri,kE26,2.57,2018
KENYA,Tana-River,kE27,9.41,2018
KENYA,Kitui,kE28,3.74,2018
KENYA,Kirinyaga,kE29,2.06,2018
KENYA,Embu,kE30,4.86,2018
KENYA,Homa-Bay,kE31,2.36,2018
KENYA,Bomet,kE32,3.48,2018
KENYA,Nyamira,kE33,1.67,2018
KENYA,Narok,kE34,2.92,2018
KENYA,Kisii,kE35,2.64,2018
KENYA,Murang'a,kE36,3.53,2018
KENYA,Migori,kE37,1.68,2018
KENYA,Kiambu,kE38,3.84,2018
KENYA,Machakos,kE39,3.6,2018
KENYA,Kajiado,kE40,4.79,2018
KENYA,Nairobi,kE41,5.56,2018
KENYA,Makueni,kE42,2.05,2018
KENYA,Lamu,kE43,10.13,2018
KENYA,Kilifi,kE110,3.21,2018
KENYA,Taita-Taveta,kE111,5.57,2018
KENYA,Kwale,kE135,2.69,2018
KENYA,Mombasa,kE141,5.39,2018
KENYA,Turkana,kE1,4.39,2019
KENYA,Marsabit,kE2,0,2019
KENYA,Mandera,kE3,3.15,2019
KENYA,Wajir,kE4,6.98,2019
KENYA,West-Pokot,kE5,4.72,2019
KENYA,Samburu,kE6,0,2019
KENYA,Isiolo,kE7,6.98,2019
KENYA,Baringo,kE8,0,2019
KENYA,Elgeiyo-Marakwet,kE9,0,2019
KENYA,Trans-Nzoia,kE10,1.61,2019
KENYA,Bungoma,kE11,1.86,2019
KENYA,Garissa,kE12,8.67,2019
KENYA,Uasin-Gishu,kE13,1.41,2019
KENYA,Kakamega,kE14,2.77,2019
KENYA,Laikipia,kE15,2.98,2019
KENYA,Busia,kE16,4.87,2019
KENYA,Meru,kE17,5.55,2019
KENYA,Nandi,kE18,5.66,2019
KENYA,Siaya,kE19,1.51,2019
KENYA,Nakuru,kE20,0.78,2019
KENYA,Vihiga,kE21,3.72,2019
KENYA,Nyandarua,kE22,1.88,2019
KENYA,Tharaka-Nithi,kE23,8.12,2019
KENYA,Kericho,kE24,2.83,2019
KENYA,Kisumu,kE25,7.01,2019
KENYA,Nyeri,kE26,0,2019
KENYA,Tana-River,kE27,0,2019
KENYA,Kitui,kE28,1.22,2019
KENYA,Kirinyaga,kE29,3.36,2019
KENYA,Embu,kE30,9.49,2019
KENYA,Homa-Bay,kE31,1.28,2019
KENYA,Bomet,kE32,6.79,2019
KENYA,Nyamira,kE33,0,2019
KENYA,Narok,kE34,0,2019
KENYA,Kisii,kE35,3.68,2019
KENYA,Murang'a,kE36,3.83,2019
KENYA,Migori,kE37,1.37,2019
KENYA,Kiambu,kE38,2.38,2019
KENYA,Machakos,kE39,7.81,2019
KENYA,Kajiado,kE40,0,2019
KENYA,Nairobi,kE41,1.81,2019
KENYA,Makueni,kE42,1.67,2019
KENYA,Lamu,kE43,0,2019
KENYA,Kilifi,kE110,0,2019
KENYA,Taita-Taveta,kE111,0,2019
KENYA,Kwale,kE135,3.5,2019
KENYA,Mombasa,kE141,4.78,2019
