indicative_duration,location,mo1_gender,gender_no,mo2_age,mo3_education,mo4_madrassa,mo5_monthly_income,mo6_local_influence,mo7_basis_for_local_influence,mo8_current_occupation,ms1_impact,ms2_size_of_bribe,ms3_type_of_abuse,ms4_service_with_worst_problem,pd,selected_cohort,stone_name,surveyor,latitude,longitude
9,Kabul PD11 - Hazara Baghal,Female,1,36 - 45,I do not have any formal education,No,I prefer not to say,No,None of the above,Police,Almost no impact,100 Afs,Payment of money,Tashkera,PD11,31,Placeholder,Tablet 08 - Not assigned (Kabul),34.48266945,69.29943996
18,Kabul PD11 - Hazara Baghal,Female,1,Up to 25,Secondary education / High School / Institute,"Yes, some","Less than 2,000 AFN",No,"Judge or senior official in district, provincial or national Government","Unemployed, unpaid worker or retired",Almost no impact,"10,000 Afs",Payment of money,Tashkera,PD11,31,Placeholder,Tablet 08 - Not assigned (Kabul),34.48266945,69.29943996
10,Kabul PD11 - Hazara Baghal,Female,1,Up to 25,Vocational training after Secondary / High School,"Yes, some",I prefer not to say,Yes,Religious Leader,Other,Almost no impact,"100,000 Afs",Payment of money,Tashkera,PD11,34,Placeholder,Tablet 08 - Not assigned (Kabul),34.48266945,69.29943996
12,Kabul PD16 - Alokhel,Female,1,36 - 45,I do not have any formal education,No,"Less than 2,000 AFN",No,None of the above,Police,Moderate impact,"1,000 Afs",Other (please specify below),Obtaining a judgement,PD16,31,Placeholder,Tablet 02 - Shukria (Kabul),34.52758801,69.26957297
14,Kabul PD16 - Alokhel,Female,1,36 - 45,I do not have any formal education,No,I prefer not to say,No,,Other,Moderate impact,"10,000 Afs",Payment of money,Other,PD16,31,Placeholder,Tablet 05 - Fariba Malikzai (Kabul),34.52782157,69.26938375
17,Kabul PD16 - Alokhel,Female,1,26 - 35,University or post-graduate education,"Yes, on a regular basis",I prefer not to say,Yes,"Respected professional (e.g. Educational, Medical, Technical)",Professional / Manager,Strong impact,No payment made,Delay of service,Other,PD16,32,Placeholder,Tablet 05 - Fariba Malikzai (Kabul),34.52782157,69.26938375
24,Kabul PD16 - Alokhel,Female,1,26 - 35,I do not have any formal education,No,I prefer not to say,No,,Other,Strong impact,No payment made,Refusal of service,Tashkera,PD16,32,Placeholder,Tablet 05 - Fariba Malikzai (Kabul),34.52782157,69.26938375
32,Kabul PD16 - Alokhel,Female,1,46 - 55,I do not have any formal education,No,I prefer not to say,No,,Other,Strong impact,No payment made,Refusal of service,Other,PD16,32,Placeholder,Tablet 05 - Fariba Malikzai (Kabul),34.52782157,69.26938375
29,Kabul PD16 - Alokhel,Female,1,26 - 35,I do not have any formal education,No,I prefer not to say,No,,Other,Strong impact,No payment made,Refusal of service,Tashkera,PD16,33,Placeholder,Tablet 05 - Fariba Malikzai (Kabul),34.52782157,69.26938375
14,Kabul PD16 - Alokhel,Female,1,36 - 45,I do not have any formal education,No,4001 - 6000 AFN,No,None of the above,Other,Strong impact,"10,000 Afs",Payment of money,District office to obtain official documentation such as land ownership,PD16,32,Placeholder,Tablet 02 - Shukria (Kabul),34.52799511,69.26903397
